Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 3,0.0,0,5432.0199999999995,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19253.25,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5497.150000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 8,0.0,0,8009.4800000000005,3.5,0.0,0,0.0,0,0.0,0,7283.089999999999,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8063.045,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11343.51,3.5,2022-04-05
Producto 12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3612.554,17.5,0.0,0,3856.88,14,0.0,0,0.0,0,2022-04-05
Producto 13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5371.11,3.5,0.0,0,0.0,0,2022-04-05
Producto 68,0.0,0,3983.9550000000004,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3822.9500000000003,7,0.0,0,0.0,0,2022-04-05
Producto 69,6034.05,3.5,0.0,0,0.0,0,0.0,0,0.0,0,6193.72,3.5,0.0,0,6281.535000000001,7,0.0,0,0.0,0,2022-04-05
